Sample_ID,New_ID,Site,Population,Year,Geo_Region,Collection,ID.1,Project,ProcessingSheetId,Result.File.Type,Old_Site,Paper_ID,Extraction.Plate,Position,Nanodrop.ng.uL,X260.280,X260.230,Qubit..ng.uL.,Quality.Sample.Plate,Position.1,Volume,Volume.for.150.ng,Volume.Dispensed,Submission.Plate,Position.2,Volume.1,Qubit..ng.uL..1,Notes
NS.1481.002.IDT_i7_17---IDT_i5_17.74,Redwoods_2012_Centre_74,Redwoods,S08,2012,Centre,Timeseries,74,Mimulus Timeseries Population Angert 2020,74_MPS12345925_B05,FASTQ,Redwoods,4,R-2,C3,1806,1.9,2.4,145,Mimulus Plate 1 Quality Extractions Aug 2020,A10,45,2,30,Angert Mimulus Ð 1,A10,30,145,
NS.1481.002.IDT_i7_72---IDT_i5_72.75,Redwoods_2012_Centre_75,Redwoods,S08,2012,Centre,Timeseries,75,Mimulus Timeseries Population Angert 2020,75_MPS12345925_F12,FASTQ,Redwoods,4,01-Jan,B10,93.6,1.9,1.7,10.2,Mimulus Plate 1 Quality Extractions Aug 2020,B10,30,15,25,Angert Mimulus Ð 1,B10,25,10.2,
NS.1493.004.IDT_i7_127---IDT_i5_127.76,Redwoods_2012_Centre_76,Redwoods,S08,2012,Centre,Timeseries,76,Mimulus Timeseries Population Angert 2020,76_MPS12345945_C02,FASTQ,Redwoods,4,01-Jan,C10,116.4,1.9,1.6,7.1,Mimulus Plate 1 Quality Extractions Aug 2020,C10,30,22,25,Angert Mimulus Ð 1,C10,25,7.14,
NS.1480.001.IDT_i7_123---IDT_i5_123.77,Redwoods_2012_Centre_77,Redwoods,S08,2012,Centre,Timeseries,77,Mimulus Timeseries Population Angert 2020,77_MPS12345929_C02,FASTQ,Redwoods,4,03-Jan,C6,16.1,1.9,1.7,6.8,Mimulus Plate 1 Quality Extractions Aug 2020,D10,65,23,25,Angert Mimulus Ð 1,D10,25,6.79,
NS.1493.004.IDT_i7_139---IDT_i5_139.78,Redwoods_2012_Centre_78,Redwoods,S08,2012,Centre,Timeseries,78,Mimulus Timeseries Population Angert 2020,78_MPS12345945_D02,FASTQ,Redwoods,4,02-Jan,B8,402.4,1.8,1.9,35.6,Mimulus Plate 1 Quality Extractions Aug 2020,E10,30,5,25,Angert Mimulus Ð 1,E10,25,35.6,
NS.1493.004.IDT_i7_151---IDT_i5_151.80,Redwoods_2013_Centre_80,Redwoods,S08,2013,Centre,Timeseries,80,Mimulus Timeseries Population Angert 2020,80_MPS12345945_E02,FASTQ,Redwoods,4,01-Jan,G10,151.4,1.9,1.9,17.8,Mimulus Plate 1 Quality Extractions Aug 2020,G10,30,9,25,Angert Mimulus Ð 1,G10,25,17.8,
NS.1493.004.IDT_i7_175---IDT_i5_175.82,Redwoods_2013_Centre_82,Redwoods,S08,2013,Centre,Timeseries,82,Mimulus Timeseries Population Angert 2020,82_MPS12345945_G02,FASTQ,Redwoods,4,R-4,F8,168.8,1.9,2,53.8,Mimulus Plate 1 Quality Extractions Aug 2020,A11,45,3,30,Angert Mimulus Ð 1,A11,30,53.8,
NS.1480.001.IDT_i7_100---IDT_i5_100.83,Redwoods_2013_Centre_83,Redwoods,S08,2013,Centre,Timeseries,83,Mimulus Timeseries Population Angert 2020,83_MPS12345929_A03,FASTQ,Redwoods,4,03-Jan,G6,37.5,1.9,2.1,17.9,Mimulus Plate 1 Quality Extractions Aug 2020,B11,70,9,30,Angert Mimulus Ð 1,B11,30,17.9,
NS.1480.001.IDT_i7_112---IDT_i5_112.84,Redwoods_2013_Centre_84,Redwoods,S08,2013,Centre,Timeseries,84,Mimulus Timeseries Population Angert 2020,84_MPS12345929_B03,FASTQ,Redwoods,4,R-1,D1,14.6,2.4,2.5,4.3,Mimulus Plate 1 Quality Extractions Aug 2020,C11,95,36,50,Angert Mimulus Ð 1,C11,50,4.26,
NS.1480.001.IDT_i7_124---IDT_i5_124.85,Redwoods_2014_Centre_85,Redwoods,S08,2014,Centre,Timeseries,85,Mimulus Timeseries Population Angert 2020,85_MPS12345929_C03,FASTQ,Redwoods,4,01-Jan,D11,181.7,1.9,1.7,16.5,Mimulus Plate 1 Quality Extractions Aug 2020,D11,30,10,25,Angert Mimulus Ð 1,D11,25,16.5,
NS.1493.004.IDT_i7_187---IDT_i5_187.86,NFMFTule_2010_Centre_86,NFMFTule,S10,2010,Centre,Both,86,Mimulus Timeseries Population Angert 2020,86_MPS12345945_H02,FASTQ,NFMF Tule,3,R-1,E1,75.5,2,2.4,17,Mimulus Plate 1 Quality Extractions Aug 2020,E11,95,9,30,Angert Mimulus Ð 1,E11,30,17,
NS.1480.001.IDT_i7_148---IDT_i5_148.87,NFMFTule_2010_Centre_87,NFMFTule,S10,2010,Centre,Both,87,Mimulus Timeseries Population Angert 2020,87_MPS12345929_E03,FASTQ,NFMF Tule,3,R-3,H2,345.9,1.9,2.2,32.5,Mimulus Plate 1 Quality Extractions Aug 2020,F11,40,5,25,Angert Mimulus Ð 1,F11,25,32.5,
NS.1480.001.IDT_i7_167---IDT_i5_167.88,NFMFTule_2011_Centre_88,NFMFTule,S10,2011,Centre,Timeseries,88,Test on 12 preliminary samples,88_MPS12345361_C08,FASTQ,NFMF Tule,3,01-Jan,G11,161.4,1.8,1.9,11.5,Mimulus Plate 1 Quality Extractions Aug 2020,G11,30,14,NA,Angert Mimulus Ð 1,G11,NA,11.5,
NS.1480.001.IDT_i7_179---IDT_i5_179.89,NFMFTule_2011_Centre_89,NFMFTule,S10,2011,Centre,Timeseries,89,Test on 12 preliminary samples,89_MPS12345361_D08,FASTQ,NFMF Tule,3,01-Jan,H11,78.4,1.9,1.9,3.5,Mimulus Plate 1 Quality Extractions Aug 2020,H11,30,43,NA,Angert Mimulus Ð 1,H11,NA,3.54,
NS.1480.001.IDT_i7_160---IDT_i5_160.90,NFMFTule_2012_Centre_90,NFMFTule,S10,2012,Centre,Timeseries,90,Mimulus Timeseries Population Angert 2020,90_MPS12345929_F03,FASTQ,NFMF Tule,3,02-Jan,H8,1507,1.9,2.3,29.6,Mimulus Plate 1 Quality Extractions Aug 2020,A12,30,6,25,Angert Mimulus Ð 1,A12,25,29.6,
NS.1480.001.IDT_i7_155---IDT_i5_155.91,NFMFTule_2012_Centre_91,NFMFTule,S10,2012,Centre,Timeseries,91,Test on 12 preliminary samples,91_MPS12345361_B08,FASTQ,NFMF Tule,3,02-Jan,A9,300.2,1.8,1.7,3.4,Mimulus Plate 1 Quality Extractions Aug 2020,B12,30,45,NA,Angert Mimulus Ð 1,B12,NA,3.38,
NS.1480.001.IDT_i7_172---IDT_i5_172.92,NFMFTule_2012_Centre_92,NFMFTule,S10,2012,Centre,Timeseries,92,Mimulus Timeseries Population Angert 2020,92_MPS12345929_G03,FASTQ,NFMF Tule,3,R-1,A1,72.3,2,2.2,5.5,Mimulus Plate 1 Quality Extractions Aug 2020,C12,90,28,35,Angert Mimulus Ð 1,C12,35,5.45,
NS.1489.004.IDT_i7_184---IDT_i5_184.93,NFMFTule_2013_Centre_93,NFMFTule,S10,2013,Centre,Timeseries,93,Mimulus Timeseries Population Angert 2020,93_MPS12345929_H03,FASTQ,NFMF Tule,3,01-Jan,D12,70.1,1.8,1.6,14.2,Mimulus Plate 1 Quality Extractions Aug 2020,D12,30,11,25,Angert Mimulus Ð 1,D12,25,14.2,
NS.1480.001.IDT_i7_101---IDT_i5_101.94,NFMFTule_2013_Centre_94,NFMFTule,S10,2013,Centre,Timeseries,94,Mimulus Timeseries Population Angert 2020,94_MPS12345929_A04,FASTQ,NFMF Tule,3,R-1,B1,169.1,1.9,2.3,13,Mimulus Plate 1 Quality Extractions Aug 2020,E12,90,12,25,Angert Mimulus Ð 1,E12,25,13,
NS.1493.004.IDT_i7_104---IDT_i5_104.95,NFMFTule_2013_Centre_95,NFMFTule,S10,2013,Centre,Timeseries,95,Mimulus Timeseries Population Angert 2020,95_MPS12345945_A03,FASTQ,NFMF Tule,3,01-Jan,F12,134.4,1.8,1.7,17.4,Mimulus Plate 1 Quality Extractions Aug 2020,F12,30,9,25,Angert Mimulus Ð 1,F12,25,17.4,
NS.1480.001.IDT_i7_125---IDT_i5_125.96,NFMFTule_2013_Centre_96,NFMFTule,S10,2013,Centre,Timeseries,96,Mimulus Timeseries Population Angert 2020,96_MPS12345929_C04,FASTQ,NFMF Tule,3,01-Jan,G12,145.9,1.9,1.9,16.7,Mimulus Plate 1 Quality Extractions Aug 2020,G12,30,9,25,Angert Mimulus Ð 1,G12,25,16.7,
NS.1480.001.IDT_i7_137---IDT_i5_137.97,NFMFTule_2013_Centre_97,NFMFTule,S10,2013,Centre,Timeseries,97,Mimulus Timeseries Population Angert 2020,97_MPS12345929_D04,FASTQ,NFMF Tule,3,02-Jan,C9,449.7,1.9,1.8,24.2,Mimulus Plate 1 Quality Extractions Aug 2020,H12,30,7,25,Angert Mimulus Ð 1,H12,25,24.2,
NS.1480.001.IDT_i7_149---IDT_i5_149.98,NFMFTule_2014_Centre_98,NFMFTule,S10,2014,Centre,Timeseries,98,Mimulus Timeseries Population Angert 2020,98_MPS12345929_E04,FASTQ,NFMF Tule,3,01-Feb,A1,38.8,1.8,2.9,15.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A1,50,10,45,Angert Mimulus Ð 2,A1,45,15.7,
NS.1480.001.IDT_i7_98---IDT_i5_98.99,NFMFTule_2014_Centre_99,NFMFTule,S10,2014,Centre,Timeseries,99,Mimulus Timeseries Population Angert 2020,99_MPS12345929_A01,FASTQ,NFMF Tule,3,R-3,A3,284.2,1.9,2.2,63.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B1,30,3,25,Angert Mimulus Ð 2,B1,25,63.7,
NS.1480.001.IDT_i7_161---IDT_i5_161.100,NFMFTule_2014_Centre_100,NFMFTule,S10,2014,Centre,Timeseries,100,Mimulus Timeseries Population Angert 2020,100_MPS12345929_F04,FASTQ,NFMF Tule,3,01-Feb,G1,99.8,1.9,2.3,21.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C1,50,8,45,Angert Mimulus Ð 2,C1,45,21.3,
NS.1480.001.IDT_i7_173---IDT_i5_173.101,NFMFTule_2014_Centre_101,NFMFTule,S10,2014,Centre,Timeseries,101,Mimulus Timeseries Population Angert 2020,101_MPS12345929_G04,FASTQ,NFMF Tule,3,R-3,B3,130.7,1.8,2.1,34.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D1,40,5,35,Angert Mimulus Ð 2,D1,35,34.5,
NS.1480.001.IDT_i7_185---IDT_i5_185.102,NFMFTule_2014_Centre_102,NFMFTule,S10,2014,Centre,Timeseries,102,Mimulus Timeseries Population Angert 2020,102_MPS12345929_H04,FASTQ,NFMF Tule,3,01-Feb,E1,31.3,1.8,3.1,12.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E1,50,12,45,Angert Mimulus Ð 2,E1,45,12.5,
NS.1480.001.IDT_i7_102---IDT_i5_102.103,NFMFTule_2014_Centre_103,NFMFTule,S10,2014,Centre,Timeseries,103,Mimulus Timeseries Population Angert 2020,103_MPS12345929_A05,FASTQ,NFMF Tule,3,01-Feb,F1,54.4,1.8,2.8,22.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F1,50,7,45,Angert Mimulus Ð 2,F1,45,22.8,
NS.1493.004.IDT_i7_116---IDT_i5_116.104,NFMFTule_2014_Centre_104,NFMFTule,S10,2014,Centre,Timeseries,104,Mimulus Timeseries Population Angert 2020,104_MPS12345945_B03,FASTQ,NFMF Tule,3,01-Feb,G1,79.3,1.9,2.6,13.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G1,50,11,45,Angert Mimulus Ð 2,G1,45,13.9,
NS.1480.001.IDT_i7_126---IDT_i5_126.105,NFMFTule_2014_Centre_105,NFMFTule,S10,2014,Centre,Timeseries,105,Mimulus Timeseries Population Angert 2020,105_MPS12345929_C05,FASTQ,NFMF Tule,3,01-Feb,H1,557.4,1.8,2.3,22.4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H1,50,7,45,Angert Mimulus Ð 2,H1,45,22.4,
NS.1493.004.IDT_i7_128---IDT_i5_128.106,NFMFTule_2015_Centre_106,NFMFTule,S10,2015,Centre,Timeseries,106,Mimulus Timeseries Population Angert 2020,106_MPS12345945_C03,FASTQ,NFMF Tule,3,01-Feb,A2,45.2,1.8,2.5,16.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A2,50,10,45,Angert Mimulus Ð 2,A2,45,16.3,
NS.1480.001.IDT_i7_150---IDT_i5_150.107,NFMFTule_2015_Centre_107,NFMFTule,S10,2015,Centre,Timeseries,107,Mimulus Timeseries Population Angert 2020,107_MPS12345929_E05,FASTQ,NFMF Tule,3,01-Feb,B2,37.4,1.8,2.5,15,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B2,50,10,45,Angert Mimulus Ð 2,B2,45,15,
NS.1480.001.IDT_i7_162---IDT_i5_162.108,NFMFTule_2015_Centre_108,NFMFTule,S10,2015,Centre,Timeseries,108,Mimulus Timeseries Population Angert 2020,108_MPS12345929_F05,FASTQ,NFMF Tule,3,01-Feb,C2,62.5,1.9,3,5.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C2,50,27,45,Angert Mimulus Ð 2,C2,45,5.7,
NS.1480.001.IDT_i7_174---IDT_i5_174.109,NFMFTule_2015_Centre_109,NFMFTule,S10,2015,Centre,Timeseries,109,Mimulus Timeseries Population Angert 2020,109_MPS12345929_G05,FASTQ,NFMF Tule,3,R-3,C3,117.5,1.9,1.9,37.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D2,50,4,45,Angert Mimulus Ð 2,D2,45,37.5,
NS.1480.001.IDT_i7_186---IDT_i5_186.110,NFMFTule_2015_Centre_110,NFMFTule,S10,2015,Centre,Timeseries,110,Mimulus Timeseries Population Angert 2020,110_MPS12345929_H05,FASTQ,NFMF Tule,3,R-3,D3,195.5,1.9,2,28,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E2,50,6,45,Angert Mimulus Ð 2,E2,45,28,
NS.1480.001.IDT_i7_110---IDT_i5_110.111,NFMFTule_2015_Centre_111,NFMFTule,S10,2015,Centre,Timeseries,111,Mimulus Timeseries Population Angert 2020,111_MPS12345929_B01,FASTQ,NFMF Tule,3,R-3,E3,495.5,1.9,2.3,52.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F2,50,3,45,Angert Mimulus Ð 2,F2,45,52.5,
NS.1480.001.IDT_i7_103---IDT_i5_103.112,NFMFTule_2015_Centre_112,NFMFTule,S10,2015,Centre,Timeseries,112,Mimulus Timeseries Population Angert 2020,112_MPS12345929_A06,FASTQ,NFMF Tule,3,01-Feb,G2,118.3,1.9,2.5,8.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G2,50,18,45,Angert Mimulus Ð 2,G2,45,8.58,
NS.1493.004.IDT_i7_140---IDT_i5_140.113,NFMFTule_2015_Centre_113,NFMFTule,S10,2015,Centre,Timeseries,113,Mimulus Timeseries Population Angert 2020,113_MPS12345945_D03,FASTQ,NFMF Tule,3,01-Feb,H2,82.1,1.8,2.9,12.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H2,50,13,45,Angert Mimulus Ð 2,H2,45,12.3,
NS.1480.001.IDT_i7_121---IDT_i5_121.113,NFMFTule_2015_Centre_113,NFMFTule,S10,2015,Centre,Timeseries,113,Test on 12 preliminary samples,113_MPS12345361_H08,FASTQ,NFMF Tule,3,01-Feb,H2,82.1,1.8,2.9,12.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H2,50,13,45,Angert Mimulus Ð 2,H2,45,12.3,
NS.1480.001.IDT_i7_157---IDT_i5_157.114,NFMFTule_2015_Centre_114,NFMFTule,S10,2015,Centre,Timeseries,114,Test on 12 preliminary samples,114_MPS12345361_C09,FASTQ,NFMF Tule,3,01-Feb,A3,20.7,1.8,4.4,9.4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A3,50,16,0,Angert Mimulus Ð 2,A3,0,9.4,
NS.1480.001.IDT_i7_127---IDT_i5_127.115,NFMFTule_2016_Centre_115,NFMFTule,S10,2016,Centre,Timeseries,115,Mimulus Timeseries Population Angert 2020,115_MPS12345929_C06,FASTQ,NFMF Tule,3,01-Feb,B3,40.1,1.7,2.4,14.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B3,50,11,45,Angert Mimulus Ð 2,B3,45,14.8,
NS.1480.001.IDT_i7_122---IDT_i5_122.116,NFMFTule_2016_Centre_116,NFMFTule,S10,2016,Centre,Timeseries,116,Mimulus Timeseries Population Angert 2020,116_MPS12345929_C01,FASTQ,NFMF Tule,3,R-5,E2,675.1,1.9,2.3,116,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C3,30,2,35,Angert Mimulus Ð 2,C3,35,116,
NS.1480.001.IDT_i7_134---IDT_i5_134.117,NFMFTule_2016_Centre_117,NFMFTule,S10,2016,Centre,Timeseries,117,Mimulus Timeseries Population Angert 2020,117_MPS12345929_D01,FASTQ,NFMF Tule,3,R-3,F3,1239.5,1.9,2.3,123,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D3,30,2,25,Angert Mimulus Ð 2,D3,25,123,
NS.1493.004.IDT_i7_152---IDT_i5_152.118,NFMFTule_2016_Centre_118,NFMFTule,S10,2016,Centre,Timeseries,118,Mimulus Timeseries Population Angert 2020,118_MPS12345945_E03,FASTQ,NFMF Tule,3,01-Feb,E3,42.9,1.8,2.9,8.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E3,50,17,45,Angert Mimulus Ð 2,E3,45,8.92,
NS.1480.001.IDT_i7_151---IDT_i5_151.119,MillCreek_2010_South_119,MillCreek,S11,2010,South,Both,119,Mimulus Timeseries Population Angert 2020,119_MPS12345929_E06,FASTQ,Mill Creek,12,01-Feb,F3,7.4,1.9,2.5,3.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F3,50,40,45,Angert Mimulus Ð 2,F3,45,3.78,
NS.1480.001.IDT_i7_146---IDT_i5_146.120,MillCreek_2010_South_120,MillCreek,S11,2010,South,Both,120,Mimulus Timeseries Population Angert 2020,120_MPS12345929_E01,FASTQ,Mill Creek,12,R-3,G3,986,2,2.3,74.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G3,30,3,25,Angert Mimulus Ð 2,G3,25,74.8,
NS.1480.001.IDT_i7_133---IDT_i5_133.121,MillCreek_2010_South_121,MillCreek,S11,2010,South,Both,121,Test on 12 preliminary samples,121_MPS12345361_A09,FASTQ,Mill Creek,12,01-Feb,H3,29.6,1.8,3.2,5.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H3,50,29,0,Angert Mimulus Ð 2,H3,0,5.18,
NS.1480.001.IDT_i7_163---IDT_i5_163.122,MillCreek_2010_South_122,MillCreek,S11,2010,South,Both,122,Mimulus Timeseries Population Angert 2020,122_MPS12345929_F06,FASTQ,Mill Creek,12,R-4,A9,420.6,1.9,2.2,42.1,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A4,30,4,25,Angert Mimulus Ð 2,A4,25,42.1,
NS.1480.001.IDT_i7_175---IDT_i5_175.123,MillCreek_2010_South_123,MillCreek,S11,2010,South,Both,123,Mimulus Timeseries Population Angert 2020,123_MPS12345929_G06,FASTQ,Mill Creek,12,R-3,H3,195.6,1.9,2.1,30.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B4,30,5,25,Angert Mimulus Ð 2,B4,25,30.3,
NS.1480.001.IDT_i7_187---IDT_i5_187.124,MillCreek_2010_South_124,MillCreek,S11,2010,South,Both,124,Mimulus Timeseries Population Angert 2020,124_MPS12345929_H06,FASTQ,Mill Creek,12,R-3,A4,428.2,1.9,2.3,71.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C4,30,3,25,Angert Mimulus Ð 2,C4,25,71.6,
NS.1480.001.IDT_i7_158---IDT_i5_158.125,MillCreek_2010_South_125,MillCreek,S11,2010,South,Both,125,Mimulus Timeseries Population Angert 2020,125_MPS12345929_F01,FASTQ,Mill Creek,12,R-3,B4,252.3,1.9,2.2,87.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D4,30,2,25,Angert Mimulus Ð 2,D4,25,87.2,
NS.1480.001.IDT_i7_104---IDT_i5_104.126,MillCreek_2011_South_126,MillCreek,S11,2011,South,Timeseries,126,Mimulus Timeseries Population Angert 2020,126_MPS12345929_A07,FASTQ,Mill Creek,12,01-Feb,E4,99.6,1.9,2.5,24.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E4,50,7,45,Angert Mimulus Ð 2,E4,45,24.8,
NS.1480.001.IDT_i7_170---IDT_i5_170.127,MillCreek_2011_South_127,MillCreek,S11,2011,South,Timeseries,127,Mimulus Timeseries Population Angert 2020,127_MPS12345929_G01,FASTQ,Mill Creek,12,R-3,C4,661.7,1.9,2.3,121,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F4,30,2,25,Angert Mimulus Ð 2,F4,25,121,
NS.1493.004.IDT_i7_164---IDT_i5_164.128,MillCreek_2011_South_128,MillCreek,S11,2011,South,Timeseries,128,Mimulus Timeseries Population Angert 2020,128_MPS12345945_F03,FASTQ,Mill Creek,12,01-Feb,G4,54.6,1.9,2.8,5.1,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G4,50,30,45,Angert Mimulus Ð 2,G4,45,5.08,
NS.1480.001.IDT_i7_128---IDT_i5_128.129,MillCreek_2011_South_129,MillCreek,S11,2011,South,Timeseries,129,Mimulus Timeseries Population Angert 2020,129_MPS12345929_C07,FASTQ,Mill Creek,12,01-Feb,H4,33.4,1.8,3,14.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H4,50,11,45,Angert Mimulus Ð 2,H4,45,14.7,
NS.1480.001.IDT_i7_140---IDT_i5_140.130,MillCreek_2011_South_130,MillCreek,S11,2011,South,Timeseries,130,Mimulus Timeseries Population Angert 2020,130_MPS12345929_D07,FASTQ,Mill Creek,12,01-Feb,A5,169.6,1.9,2.5,14.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A5,50,11,45,Angert Mimulus Ð 2,A5,45,14.9,
NS.1480.001.IDT_i7_152---IDT_i5_152.131,MillCreek_2011_South_131,MillCreek,S11,2011,South,Timeseries,131,Mimulus Timeseries Population Angert 2020,131_MPS12345929_E07,FASTQ,Mill Creek,12,R-3,D4,347.9,1.9,2.2,70.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B5,30,3,25,Angert Mimulus Ð 2,B5,25,70.8,
NS.1480.001.IDT_i7_145---IDT_i5_145.132,MillCreek_2011_South_132,MillCreek,S11,2011,South,Timeseries,132,Test on 12 preliminary samples,132_MPS12345361_B09,FASTQ,Mill Creek,12,01-Feb,C5,15.5,1.8,4.2,5.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C5,50,27,0,Angert Mimulus Ð 2,C5,0,5.58,
NS.1480.001.IDT_i7_182---IDT_i5_182.133,MillCreek_2013_South_133,MillCreek,S11,2013,South,Timeseries,133,Mimulus Timeseries Population Angert 2020,133_MPS12345929_H01,FASTQ,Mill Creek,12,R-5,F2,212.4,1.9,2.4,49.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D5,30,4,30,Angert Mimulus Ð 2,D5,30,49.2,
NS.1480.001.IDT_i7_164---IDT_i5_164.134,MillCreek_2013_South_134,MillCreek,S11,2013,South,Timeseries,134,Mimulus Timeseries Population Angert 2020,134_MPS12345929_F07,FASTQ,Mill Creek,12,R-3,F4,759.1,1.9,2.3,9.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E5,30,16,30,Angert Mimulus Ð 2,E5,30,9.89,
NS.1480.001.IDT_i7_176---IDT_i5_176.135,MillCreek_2013_South_135,MillCreek,S11,2013,South,Timeseries,135,Mimulus Timeseries Population Angert 2020,135_MPS12345929_G07,FASTQ,Mill Creek,12,R-3,G4,53,1.8,1.8,11.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F5,30,13,30,Angert Mimulus Ð 2,F5,30,11.6,
NS.1480.001.IDT_i7_188---IDT_i5_188.136,MillCreek_2013_South_136,MillCreek,S11,2013,South,Timeseries,136,Mimulus Timeseries Population Angert 2020,136_MPS12345929_H07,FASTQ,Mill Creek,12,01-Feb,G5,10.5,1.7,2.9,4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G5,50,38,50,Angert Mimulus Ð 2,G5,50,3.98,
NS.1480.001.IDT_i7_105---IDT_i5_105.137,MillCreek_2013_South_137,MillCreek,S11,2013,South,Timeseries,137,Mimulus Timeseries Population Angert 2020,137_MPS12345929_A08,FASTQ,Mill Creek,12,R-4,B9,352.8,1.9,2.2,22.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H5,30,7,30,Angert Mimulus Ð 2,H5,30,22.5,
NS.1493.004.IDT_i7_176---IDT_i5_176.138,MillCreek_2013_South_138,MillCreek,S11,2013,South,Timeseries,138,Mimulus Timeseries Population Angert 2020,138_MPS12345945_G03,FASTQ,Mill Creek,12,01-Feb,A6,29.4,1.7,2.8,7.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A6,50,20,25,Angert Mimulus Ð 2,A6,25,7.54,
NS.1480.001.IDT_i7_129---IDT_i5_129.139,MillCreek_2015_South_139,MillCreek,S11,2015,South,Timeseries,139,Mimulus Timeseries Population Angert 2020,139_MPS12345929_C08,FASTQ,Mill Creek,12,R-3,H4,115.7,1.9,1.9,36.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B6,30,5,25,Angert Mimulus Ð 2,B6,25,36.5,
NS.1480.001.IDT_i7_141---IDT_i5_141.140,MillCreek_2015_South_140,MillCreek,S11,2015,South,Timeseries,140,Mimulus Timeseries Population Angert 2020,140_MPS12345929_D08,FASTQ,Mill Creek,12,R-4,C9,33.6,1.8,1.8,3.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C6,30,39,30,Angert Mimulus Ð 2,C6,30,3.9,insufficent
NS.1480.001.IDT_i7_153---IDT_i5_153.141,MillCreek_2015_South_141,MillCreek,S11,2015,South,Timeseries,141,Mimulus Timeseries Population Angert 2020,141_MPS12345929_E08,FASTQ,Mill Creek,12,R-5,C3,234.2,1.9,2.4,44.4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D6,30,4,30,Angert Mimulus Ð 2,D6,30,44.4,
NS.1480.001.IDT_i7_165---IDT_i5_165.142,MillCreek_2015_South_142,MillCreek,S11,2015,South,Timeseries,142,Mimulus Timeseries Population Angert 2020,142_MPS12345929_F08,FASTQ,Mill Creek,12,01-Feb,E6,19.6,1.7,2.8,4.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E6,50,35,50,Angert Mimulus Ð 2,E6,50,4.34,
NS.1480.001.IDT_i7_177---IDT_i5_177.143,MillCreek_2015_South_143,MillCreek,S11,2015,South,Timeseries,143,Mimulus Timeseries Population Angert 2020,143_MPS12345929_G08,FASTQ,Mill Creek,12,01-Feb,F6,299.4,1.8,2.4,23,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F6,50,7,50,Angert Mimulus Ð 2,F6,50,23,
NS.1480.001.IDT_i7_189---IDT_i5_189.144,MillCreek_2016_South_144,MillCreek,S11,2016,South,Timeseries,144,Mimulus Timeseries Population Angert 2020,144_MPS12345929_H08,FASTQ,Mill Creek,12,R-4,D9,356.9,1.9,2.2,18.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G6,30,9,30,Angert Mimulus Ð 2,G6,30,18.5,
